feature,importance
precio_lista,0.16610395492886867
mes,0.12387848065603964
segmento_num,0.10745567891470231
es_premium_luxury,0.08775749547826073
descuento_pct,0.07170661153494572
origen_lead_enc,0.06550231398082204
zona_enc,0.06109265905672219
financiacion_enc,0.05775984010091614
num_accesorios,0.050776995884320116
año,0.04608661607920818
marca_enc,0.036228919315306474
segmento_enc,0.03353619688813597
senioridad_enc,0.02880515543524729
permuta,0.02534299271020275
test_drive,0.023765312902853882
tipo_enc,0.014200776133447895
